PassengerId,Survived,Ticket_class,Sex,Age,Siblings_Spouses,Parents_Children,Fare,Embarked
195,Yes,1,Female,44,0,0,27.7208,Cherbourg
196,Yes,1,Female,58,0,0,146.5208,Cherbourg
198,No,3,Male,42,0,1,8.4042,Southampton
200,No,2,Female,24,0,0,13.0,Southampton
201,No,3,Male,28,0,0,9.5,Southampton
203,No,3,Male,34,0,0,6.4958,Southampton
204,No,3,Male,45,0,0,7.225,Cherbourg
205,Yes,3,Male,18,0,0,8.05,Southampton
206,No,3,Female,2,0,1,10.4625,Southampton
207,No,3,Male,32,1,0,15.85,Southampton
208,Yes,3,Male,26,0,0,18.7875,Cherbourg
209,Yes,3,Female,16,0,0,7.75,Queenstown
210,Yes,1,Male,40,0,0,31.0,Cherbourg
211,No,3,Male,24,0,0,7.05,Southampton
212,Yes,2,Female,35,0,0,21.0,Southampton
213,No,3,Male,22,0,0,7.25,Southampton
214,No,2,Male,30,0,0,13.0,Southampton
216,Yes,1,Female,31,1,0,113.275,Cherbourg
217,Yes,3,Female,27,0,0,7.925,Southampton
218,No,2,Male,42,1,0,27.0,Southampton
219,Yes,1,Female,32,0,0,76.2917,Cherbourg
220,No,2,Male,30,0,0,10.5,Southampton
221,Yes,3,Male,16,0,0,8.05,Southampton
222,No,2,Male,27,0,0,13.0,Southampton
223,No,3,Male,51,0,0,8.05,Southampton
225,Yes,1,Male,38,1,0,90.0,Southampton
226,No,3,Male,22,0,0,9.35,Southampton
227,Yes,2,Male,19,0,0,10.5,Southampton
228,No,3,Male,20,0,0,7.25,Southampton
229,No,2,Male,18,0,0,13.0,Southampton
231,Yes,1,Female,35,1,0,83.475,Southampton
232,No,3,Male,29,0,0,7.775,Southampton
233,No,2,Male,59,0,0,13.5,Southampton
234,Yes,3,Female,5,4,2,31.3875,Southampton
235,No,2,Male,24,0,0,10.5,Southampton
237,No,2,Male,44,1,0,26.0,Southampton
238,Yes,2,Female,8,0,2,26.25,Southampton
239,No,2,Male,19,0,0,10.5,Southampton
240,No,2,Male,33,0,0,12.275,Southampton
243,No,2,Male,29,0,0,10.5,Southampton
244,No,3,Male,22,0,0,7.125,Southampton
245,No,3,Male,30,0,0,7.225,Cherbourg
246,No,1,Male,44,2,0,90.0,Queenstown
247,No,3,Female,25,0,0,7.775,Southampton
248,Yes,2,Female,24,0,2,14.5,Southampton
249,Yes,1,Male,37,1,1,52.5542,Southampton
250,No,2,Male,54,1,0,26.0,Southampton
252,No,3,Female,29,1,1,10.4625,Southampton
253,No,1,Male,62,0,0,26.55,Southampton
254,No,3,Male,30,1,0,16.1,Southampton
255,No,3,Female,41,0,2,20.2125,Southampton
256,Yes,3,Female,29,0,2,15.2458,Cherbourg
258,Yes,1,Female,30,0,0,86.5,Southampton
260,Yes,2,Female,50,0,1,26.0,Southampton
262,Yes,3,Male,3,4,2,31.3875,Southampton
263,No,1,Male,52,1,1,79.65,Southampton
266,No,2,Male,36,0,0,10.5,Southampton
267,No,3,Male,16,4,1,39.6875,Southampton
268,Yes,3,Male,25,1,0,7.775,Southampton
269,Yes,1,Female,58,0,1,153.4625,Southampton
270,Yes,1,Female,35,0,0,135.6333,Southampton
273,Yes,2,Female,41,0,1,19.5,Southampton
274,No,1,Male,37,0,1,29.7,Cherbourg
276,Yes,1,Female,63,1,0,77.9583,Southampton
277,No,3,Female,45,0,0,7.75,Southampton
279,No,3,Male,7,4,1,29.125,Queenstown
280,Yes,3,Female,35,1,1,20.25,Southampton
281,No,3,Male,65,0,0,7.75,Queenstown
282,No,3,Male,28,0,0,7.8542,Southampton
283,No,3,Male,16,0,0,9.5,Southampton
284,Yes,3,Male,19,0,0,8.05,Southampton
286,No,3,Male,33,0,0,8.6625,Cherbourg
287,Yes,3,Male,30,0,0,9.5,Southampton
288,No,3,Male,22,0,0,7.8958,Southampton
289,Yes,2,Male,42,0,0,13.0,Southampton
290,Yes,3,Female,22,0,0,7.75,Queenstown
291,Yes,1,Female,26,0,0,78.85,Southampton
292,Yes,1,Female,19,1,0,91.0792,Cherbourg
293,No,2,Male,36,0,0,12.875,Cherbourg
294,No,3,Female,24,0,0,8.85,Southampton
295,No,3,Male,24,0,0,7.8958,Southampton
297,No,3,Male,23,0,0,7.2292,Cherbourg
298,No,1,Female,2,1,2,151.55,Southampton
300,Yes,1,Female,50,0,1,247.5208,Cherbourg
306,Yes,1,Male,0,1,2,151.55,Southampton
308,Yes,1,Female,17,1,0,108.9,Cherbourg
309,No,2,Male,30,1,0,24.0,Cherbourg
310,Yes,1,Female,30,0,0,56.9292,Cherbourg
311,Yes,1,Female,24,0,0,83.1583,Cherbourg
312,Yes,1,Female,18,2,2,262.375,Cherbourg
313,No,2,Female,26,1,1,26.0,Southampton
314,No,3,Male,28,0,0,7.8958,Southampton
315,No,2,Male,43,1,1,26.25,Southampton
316,Yes,3,Female,26,0,0,7.8542,Southampton
317,Yes,2,Female,24,1,0,26.0,Southampton
318,No,2,Male,54,0,0,14.0,Southampton
319,Yes,1,Female,31,0,2,164.8667,Southampton
320,Yes,1,Female,40,1,1,134.5,Cherbourg
321,No,3,Male,22,0,0,7.25,Southampton
322,No,3,Male,27,0,0,7.8958,Southampton
323,Yes,2,Female,30,0,0,12.35,Queenstown
324,Yes,2,Female,22,1,1,29.0,Southampton
326,Yes,1,Female,36,0,0,135.6333,Cherbourg
327,No,3,Male,61,0,0,6.2375,Southampton
328,Yes,2,Female,36,0,0,13.0,Southampton
329,Yes,3,Female,31,1,1,20.525,Southampton
330,Yes,1,Female,16,0,1,57.9792,Cherbourg
332,No,1,Male,45,0,0,28.5,Southampton
333,No,1,Male,38,0,1,153.4625,Southampton
334,No,3,Male,16,2,0,18.0,Southampton
337,No,1,Male,29,1,0,66.6,Southampton
338,Yes,1,Female,41,0,0,134.5,Cherbourg
339,Yes,3,Male,45,0,0,8.05,Southampton
340,No,1,Male,45,0,0,35.5,Southampton
341,Yes,2,Male,2,1,1,26.0,Southampton
342,Yes,1,Female,24,3,2,263.0,Southampton
343,No,2,Male,28,0,0,13.0,Southampton
344,No,2,Male,25,0,0,13.0,Southampton
345,No,2,Male,36,0,0,13.0,Southampton
346,Yes,2,Female,24,0,0,13.0,Southampton
347,Yes,2,Female,40,0,0,13.0,Southampton
349,Yes,3,Male,3,1,1,15.9,Southampton
350,No,3,Male,42,0,0,8.6625,Southampton
351,No,3,Male,23,0,0,9.225,Southampton
353,No,3,Male,15,1,1,7.2292,Cherbourg
354,No,3,Male,25,1,0,17.8,Southampton
356,No,3,Male,28,0,0,9.5,Southampton
357,Yes,1,Female,22,0,1,55.0,Southampton
358,No,2,Female,38,0,0,13.0,Southampton
361,No,3,Male,40,1,4,27.9,Southampton
362,No,2,Male,29,1,0,27.7208,Cherbourg
363,No,3,Female,45,0,1,14.4542,Cherbourg
364,No,3,Male,35,0,0,7.05,Southampton
366,No,3,Male,30,0,0,7.25,Southampton
367,Yes,1,Female,60,1,0,75.25,Cherbourg
370,Yes,1,Female,24,0,0,69.3,Cherbourg
371,Yes,1,Male,25,1,0,55.4417,Cherbourg
372,No,3,Male,18,1,0,6.4958,Southampton
373,No,3,Male,19,0,0,8.05,Southampton
374,No,1,Male,22,0,0,135.6333,Cherbourg
375,No,3,Female,3,3,1,21.075,Southampton
377,Yes,3,Female,22,0,0,7.25,Southampton
378,No,1,Male,27,0,2,211.5,Cherbourg
379,No,3,Male,20,0,0,4.0125,Cherbourg
380,No,3,Male,19,0,0,7.775,Southampton
381,Yes,1,Female,42,0,0,227.525,Cherbourg
382,Yes,3,Female,1,0,2,15.7417,Cherbourg
383,No,3,Male,32,0,0,7.925,Southampton
384,Yes,1,Female,35,1,0,52.0,Southampton
386,No,2,Male,18,0,0,73.5,Southampton
387,No,3,Male,1,5,2,46.9,Southampton
388,Yes,2,Female,36,0,0,13.0,Southampton
390,Yes,2,Female,17,0,0,12.0,Cherbourg
391,Yes,1,Male,36,1,2,120.0,Southampton
392,Yes,3,Male,21,0,0,7.7958,Southampton
393,No,3,Male,28,2,0,7.925,Southampton
394,Yes,1,Female,23,1,0,113.275,Cherbourg
395,Yes,3,Female,24,0,2,16.7,Southampton
396,No,3,Male,22,0,0,7.7958,Southampton
397,No,3,Female,31,0,0,7.8542,Southampton
398,No,2,Male,46,0,0,26.0,Southampton
399,No,2,Male,23,0,0,10.5,Southampton
400,Yes,2,Female,28,0,0,12.65,Southampton
401,Yes,3,Male,39,0,0,7.925,Southampton
402,No,3,Male,26,0,0,8.05,Southampton
403,No,3,Female,21,1,0,9.825,Southampton
404,No,3,Male,28,1,0,15.85,Southampton
405,No,3,Female,20,0,0,8.6625,Southampton
406,No,2,Male,34,1,0,21.0,Southampton
407,No,3,Male,51,0,0,7.75,Southampton
408,Yes,2,Male,3,1,1,18.75,Southampton
409,No,3,Male,21,0,0,7.775,Southampton
413,Yes,1,Female,33,1,0,90.0,Queenstown
415,Yes,3,Male,44,0,0,7.925,Southampton
417,Yes,2,Female,34,1,1,32.5,Southampton
418,Yes,2,Female,18,0,2,13.0,Southampton
419,No,2,Male,30,0,0,13.0,Southampton
420,No,3,Female,10,0,2,24.15,Southampton
422,No,3,Male,21,0,0,7.7333,Queenstown
423,No,3,Male,29,0,0,7.875,Southampton
424,No,3,Female,28,1,1,14.4,Southampton
425,No,3,Male,18,1,1,20.2125,Southampton
427,Yes,2,Female,28,1,0,26.0,Southampton
428,Yes,2,Female,19,0,0,26.0,Southampton
430,Yes,3,Male,32,0,0,8.05,Southampton
431,Yes,1,Male,28,0,0,26.55,Southampton
433,Yes,2,Female,42,1,0,26.0,Southampton
434,No,3,Male,17,0,0,7.125,Southampton
435,No,1,Male,50,1,0,55.9,Southampton
436,Yes,1,Female,14,1,2,120.0,Southampton
437,No,3,Female,21,2,2,34.375,Southampton
438,Yes,2,Female,24,2,3,18.75,Southampton
439,No,1,Male,64,1,4,263.0,Southampton
440,No,2,Male,31,0,0,10.5,Southampton
441,Yes,2,Female,45,1,1,26.25,Southampton
442,No,3,Male,20,0,0,9.5,Southampton
443,No,3,Male,25,1,0,7.775,Southampton
444,Yes,2,Female,28,0,0,13.0,Southampton
446,Yes,1,Male,4,0,2,81.8583,Southampton
447,Yes,2,Female,13,0,1,19.5,Southampton
448,Yes,1,Male,34,0,0,26.55,Southampton
449,Yes,3,Female,5,2,1,19.2583,Cherbourg
450,Yes,1,Male,52,0,0,30.5,Southampton
451,No,2,Male,36,1,2,27.75,Southampton
453,No,1,Male,30,0,0,27.75,Cherbourg
454,Yes,1,Male,49,1,0,89.1042,Cherbourg
456,Yes,3,Male,29,0,0,7.8958,Cherbourg
457,No,1,Male,65,0,0,26.55,Southampton
459,Yes,2,Female,50,0,0,10.5,Southampton
461,Yes,1,Male,48,0,0,26.55,Southampton
462,No,3,Male,34,0,0,8.05,Southampton
463,No,1,Male,47,0,0,38.5,Southampton
464,No,2,Male,48,0,0,13.0,Southampton
466,No,3,Male,38,0,0,7.05,Southampton
468,No,1,Male,56,0,0,26.55,Southampton
470,Yes,3,Female,0,2,1,19.2583,Cherbourg
472,No,3,Male,38,0,0,8.6625,Southampton
473,Yes,2,Female,33,1,2,27.75,Southampton
474,Yes,2,Female,23,0,0,13.7917,Cherbourg
475,No,3,Female,22,0,0,9.8375,Southampton
477,No,2,Male,34,1,0,21.0,Southampton
478,No,3,Male,29,1,0,7.0458,Southampton
479,No,3,Male,22,0,0,7.5208,Southampton
480,Yes,3,Female,2,0,1,12.2875,Southampton
481,No,3,Male,9,5,2,46.9,Southampton
483,No,3,Male,50,0,0,8.05,Southampton
484,Yes,3,Female,63,0,0,9.5875,Southampton
485,Yes,1,Male,25,1,0,91.0792,Cherbourg
487,Yes,1,Female,35,1,0,90.0,Southampton
488,No,1,Male,58,0,0,29.7,Cherbourg
489,No,3,Male,30,0,0,8.05,Southampton
490,Yes,3,Male,9,1,1,15.9,Southampton
492,No,3,Male,21,0,0,7.25,Southampton
493,No,1,Male,55,0,0,30.5,Southampton
494,No,1,Male,71,0,0,49.5042,Cherbourg
495,No,3,Male,21,0,0,8.05,Southampton
497,Yes,1,Female,54,1,0,78.2667,Cherbourg
499,No,1,Female,25,1,2,151.55,Southampton
500,No,3,Male,24,0,0,7.7958,Southampton
501,No,3,Male,17,0,0,8.6625,Southampton
502,No,3,Female,21,0,0,7.75,Queenstown
504,No,3,Female,37,0,0,9.5875,Southampton
505,Yes,1,Female,16,0,0,86.5,Southampton
506,No,1,Male,18,1,0,108.9,Cherbourg
507,Yes,2,Female,33,0,2,26.0,Southampton
509,No,3,Male,28,0,0,22.525,Southampton
510,Yes,3,Male,26,0,0,56.4958,Southampton
511,Yes,3,Male,29,0,0,7.75,Queenstown
513,Yes,1,Male,36,0,0,26.2875,Southampton
514,Yes,1,Female,54,1,0,59.4,Cherbourg
515,No,3,Male,24,0,0,7.4958,Southampton
516,No,1,Male,47,0,0,34.0208,Southampton
517,Yes,2,Female,34,0,0,10.5,Southampton
519,Yes,2,Female,36,1,0,26.0,Southampton
520,No,3,Male,32,0,0,7.8958,Southampton
521,Yes,1,Female,30,0,0,93.5,Southampton
522,No,3,Male,22,0,0,7.8958,Southampton
524,Yes,1,Female,44,0,1,57.9792,Cherbourg
526,No,3,Male,40,0,0,7.75,Queenstown
527,Yes,2,Female,50,0,0,10.5,Southampton
529,No,3,Male,39,0,0,7.925,Southampton
530,No,2,Male,23,2,1,11.5,Southampton
531,Yes,2,Female,2,1,1,26.0,Southampton
533,No,3,Male,17,1,1,7.2292,Cherbourg
535,No,3,Female,30,0,0,8.6625,Southampton
536,Yes,2,Female,7,0,2,26.25,Southampton
537,No,1,Male,45,0,0,26.55,Southampton
538,Yes,1,Female,30,0,0,106.425,Cherbourg
540,Yes,1,Female,22,0,2,49.5,Cherbourg
541,Yes,1,Female,36,0,2,71.0,Southampton
542,No,3,Female,9,4,2,31.275,Southampton
543,No,3,Female,11,4,2,31.275,Southampton
544,Yes,2,Male,32,1,0,26.0,Southampton
545,No,1,Male,50,1,0,106.425,Cherbourg
546,No,1,Male,64,0,0,26.0,Southampton
547,Yes,2,Female,19,1,0,26.0,Southampton
549,No,3,Male,33,1,1,20.525,Southampton
550,Yes,2,Male,8,1,1,36.75,Southampton
551,Yes,1,Male,17,0,2,110.8833,Cherbourg
552,No,2,Male,27,0,0,26.0,Southampton
554,Yes,3,Male,22,0,0,7.225,Cherbourg
555,Yes,3,Female,22,0,0,7.775,Southampton
556,No,1,Male,62,0,0,26.55,Southampton
557,Yes,1,Female,48,1,0,39.6,Cherbourg
559,Yes,1,Female,39,1,1,79.65,Southampton
560,Yes,3,Female,36,1,0,17.4,Southampton
562,No,3,Male,40,0,0,7.8958,Southampton
563,No,2,Male,28,0,0,13.5,Southampton
566,No,3,Male,24,2,0,24.15,Southampton
567,No,3,Male,19,0,0,7.8958,Southampton
568,No,3,Female,29,0,4,21.075,Southampton
570,Yes,3,Male,32,0,0,7.8542,Southampton
571,Yes,2,Male,62,0,0,10.5,Southampton
572,Yes,1,Female,53,2,0,51.4792,Southampton
573,Yes,1,Male,36,0,0,26.3875,Southampton
575,No,3,Male,16,0,0,8.05,Southampton
576,No,3,Male,19,0,0,14.5,Southampton
577,Yes,2,Female,34,0,0,13.0,Southampton
578,Yes,1,Female,39,1,0,55.9,Southampton
580,Yes,3,Male,32,0,0,7.925,Southampton
581,Yes,2,Female,25,1,1,30.0,Southampton
582,Yes,1,Female,39,1,1,110.8833,Cherbourg
583,No,2,Male,54,0,0,26.0,Southampton
584,No,1,Male,36,0,0,40.125,Cherbourg
586,Yes,1,Female,18,0,2,79.65,Southampton
587,No,2,Male,47,0,0,15.0,Southampton
588,Yes,1,Male,60,1,1,79.2,Cherbourg
589,No,3,Male,22,0,0,8.05,Southampton
591,No,3,Male,35,0,0,7.125,Southampton
592,Yes,1,Female,52,1,0,78.2667,Cherbourg
593,No,3,Male,47,0,0,7.25,Southampton
595,No,2,Male,37,1,0,26.0,Southampton
596,No,3,Male,36,1,1,24.15,Southampton
600,Yes,1,Male,49,1,0,56.9292,Cherbourg
601,Yes,2,Female,24,2,1,27.0,Southampton
604,No,3,Male,44,0,0,8.05,Southampton
605,Yes,1,Male,35,0,0,26.55,Cherbourg
606,No,3,Male,36,1,0,15.55,Southampton
607,No,3,Male,30,0,0,7.8958,Southampton
608,Yes,1,Male,27,0,0,30.5,Southampton
609,Yes,2,Female,22,1,2,41.5792,Cherbourg
610,Yes,1,Female,40,0,0,153.4625,Southampton
611,No,3,Female,39,1,5,31.275,Southampton
615,No,3,Male,35,0,0,8.05,Southampton
616,Yes,2,Female,24,1,2,65.0,Southampton
617,No,3,Male,34,1,1,14.4,Southampton
618,No,3,Female,26,1,0,16.1,Southampton
619,Yes,2,Female,4,2,1,39.0,Southampton
620,No,2,Male,26,0,0,10.5,Southampton
621,No,3,Male,27,1,0,14.4542,Cherbourg
622,Yes,1,Male,42,1,0,52.5542,Southampton
623,Yes,3,Male,20,1,1,15.7417,Cherbourg
624,No,3,Male,21,0,0,7.8542,Southampton
625,No,3,Male,21,0,0,16.1,Southampton
626,No,1,Male,61,0,0,32.3208,Southampton
627,No,2,Male,57,0,0,12.35,Queenstown
628,Yes,1,Female,21,0,0,77.9583,Southampton
629,No,3,Male,26,0,0,7.8958,Southampton
631,Yes,1,Male,80,0,0,30.0,Southampton
632,No,3,Male,51,0,0,7.0542,Southampton
633,Yes,1,Male,32,0,0,30.5,Cherbourg
635,No,3,Female,9,3,2,27.9,Southampton
636,Yes,2,Female,28,0,0,13.0,Southampton
637,No,3,Male,32,0,0,7.925,Southampton
638,No,2,Male,31,1,1,26.25,Southampton
639,No,3,Female,41,0,5,39.6875,Southampton
641,No,3,Male,20,0,0,7.8542,Southampton
642,Yes,1,Female,24,0,0,69.3,Cherbourg
643,No,3,Female,2,3,2,27.9,Southampton
645,Yes,3,Female,0,2,1,19.2583,Cherbourg
646,Yes,1,Male,48,1,0,76.7292,Cherbourg
647,No,3,Male,19,0,0,7.8958,Southampton
648,Yes,1,Male,56,0,0,35.5,Cherbourg
650,Yes,3,Female,23,0,0,7.55,Southampton
652,Yes,2,Female,18,0,1,23.0,Southampton
653,No,3,Male,21,0,0,8.4333,Southampton
655,No,3,Female,18,0,0,6.75,Queenstown
656,No,2,Male,24,2,0,73.5,Southampton
658,No,3,Female,32,1,1,15.5,Queenstown
659,No,2,Male,23,0,0,13.0,Southampton
660,No,1,Male,58,0,2,113.275,Cherbourg
661,Yes,1,Male,50,2,0,133.65,Southampton
662,No,3,Male,40,0,0,7.225,Cherbourg
663,No,1,Male,47,0,0,25.5875,Southampton
664,No,3,Male,36,0,0,7.4958,Southampton
665,Yes,3,Male,20,1,0,7.925,Southampton
666,No,2,Male,32,2,0,73.5,Southampton
667,No,2,Male,25,0,0,13.0,Southampton
669,No,3,Male,43,0,0,8.05,Southampton
671,Yes,2,Female,40,1,1,39.0,Southampton
672,No,1,Male,31,1,0,52.0,Southampton
673,No,2,Male,70,0,0,10.5,Southampton
674,Yes,2,Male,31,0,0,13.0,Southampton
676,No,3,Male,18,0,0,7.775,Southampton
677,No,3,Male,24,0,0,8.05,Southampton
678,Yes,3,Female,18,0,0,9.8417,Southampton
679,No,3,Female,43,1,6,46.9,Southampton
682,Yes,1,Male,27,0,0,76.7292,Cherbourg
683,No,3,Male,20,0,0,9.225,Southampton
684,No,3,Male,14,5,2,46.9,Southampton
685,No,2,Male,60,1,1,39.0,Southampton
686,No,2,Male,25,1,2,41.5792,Cherbourg
687,No,3,Male,14,4,1,39.6875,Southampton
688,No,3,Male,19,0,0,10.1708,Southampton
689,No,3,Male,18,0,0,7.7958,Southampton
690,Yes,1,Female,15,0,1,211.3375,Southampton
691,Yes,1,Male,31,1,0,57.0,Southampton
692,Yes,3,Female,4,0,1,13.4167,Cherbourg
694,No,3,Male,25,0,0,7.225,Cherbourg
695,No,1,Male,60,0,0,26.55,Southampton
696,No,2,Male,52,0,0,13.5,Southampton
